# x, CNF, CNF-low, CNF-high, A1, A1-low, A1-high, A2, A2-low, A2-high
5,7.460095788,9.6860509,5.5670793,0.574160038,0.6626163,0.5130787,1.319404013,1.4965944,1.1532318
10,62.63955655,156.2721822,14.2948314,0.658009475,0.8204093,0.4796632,1.749375013,2.2234115,1.2744608
15,1052.87393,1600,452.4975207,0.129337113,0.2137808,0.058977,0.369913725,0.631525,0.181733
20,1600,1600,1600,0.220180975,0.2870638,0.2028642,0.609361138,0.8305623,0.5598236
25,1600,1600,1600,0.063642813,0.0782443,0.0562568,0.2739845,0.4065627,0.245333
30,1600,1600,1600,0.066824175,0.0759048,0.0613821,0.317388825,0.3902082,0.284665
35,1600,1600,1600,0.070841375,0.073484,0.0637399,0.341576838,0.3589505,0.3290757
40,1600,1600,1600,0.075590713,0.079475,0.0731632,0.393272188,0.4216698,0.3739962
45,1600,1600,1600,0.08053165,0.0835702,0.0768173,0.415472925,0.4390916,0.3870614
50,1600,1600,1600,0.092596075,0.1349727,0.0785702,0.517466163,0.7109866,0.4468544
