# x, CNF, CNF-low, CNF-high, A1, A1-low, A1-high, A2, A2-low, A2-high
5,0.59908762,0.8368113,0.3151133,0.08148663,0.1010769,0.0689211,0.21238947,0.2416193,0.1987988
10,47.89381558,132.5156493,5.3251338,0.08598441,0.1014971,0.074962,0.29599469,0.3796459,0.2662623
15,487.1788427,620.946847,427.729217,0.08505136,0.0968267,0.0739293,0.39968862,0.5524188,0.2700208
20,,,,0.09857687,0.112765,0.0864155,0.53092217,0.6747521,0.4532703
25,,,,0.10106798,0.1065717,0.0930079,0.6265653,0.6954731,0.5479103
30,,,,0.11092185,0.1166893,0.101481,0.7179954,0.8133239,0.6500969
35,,,,0.12714787,0.1473606,0.1151641,0.83955284,0.9174182,0.7400728
40,,,,0.13662576,0.1462637,0.1273422,1.00433446,1.1502567,0.8536285
45,,,,0.1656621,0.1871465,0.1439779,1.06068518,1.2489562,0.9324186
50,,,,0.16667396,0.1916384,0.1543919,1.15393072,1.2806179,1.0761759
